10	11112810	11112940	6
11	34242236	34242266	4
11	46672468	46672516	4
12	7000227	7000253	3
12	44762795	44762874	6
13	6615896	6615924	5
14	9365992	9366024	3
14	10741127	10741221	6
14	15698493	15698502	4
14	34995746	34995952	8
15	5532823	5533096	16
16	25078780	25078798	3
17	1185754	1185791	5
17	10219299	10219326	3
17	11292320	11292361	4
18	18578165	18578210	7
1	30599518	30599553	5
1	30766259	30766284	3
1	57648024	57648053	3
1	60340858	60341113	13
3	21766368	21766582	8
3	29471896	29471922	3
3	32329148	32329181	7
3	43414196	43414297	5
3	54310800	54310984	12
4	14813835	14813882	9
5	21513416	21513443	12
5	49645620	49645816	7
6	8461343	8461359	3
6	10182891	10182921	8
6	10183005	10183320	22
6	46440055	46440094	5
7	39526917	39527241	6
8	17534473	17534627	13
9	21159874	21159960	4
9	32354166	32354260	6
